filename,gt_x,gt_y,pred_x,pred_y,error_px
plant_pt_000065_r3_c4_left_4.png,77.20252990722656,87.89873504638672,223.0,223.0,198.76934893871234
plant_pt_000503_r1_c1_left_1.png,76.69767761230469,91.16278839111328,223.0,223.0,196.9401429390146
plant_pt_000334_r1_c4_left_7.png,79.5362319946289,88.65217590332031,223.0,223.0,196.5481889252896
plant_pt_000274_r1_c4_left_0.png,138.1556854248047,138.4490966796875,0.0,0.0,195.58922717424662
plant_pt_000273_r1_c3_left_0.png,127.30054473876953,145.98907470703125,0.0,0.0,193.69625351204553
plant_pt_000644_r3_c2_left_11.png,65.9454574584961,112.0,223.0,223.0,192.3203820007673
plant_pt_000419_r2_c4_left_2.png,86.4000015258789,131.39999389648438,223.0,0.0,189.54028062426735
plant_pt_000275_r2_c4_left_3.png,144.12432861328125,121.0810775756836,0.0,0.0,188.23509089730797
plant_pt_000252_r2_c3_left_2.png,111.07437896728516,149.81817626953125,223.0,0.0,187.01024192350332
plant_pt_000129_r1_c4_left_2.png,86.99028778076172,127.33980560302734,223.0,0.0,186.31711652174315
plant_pt_000352_r3_c2_left_4.png,86.99028778076172,95.68932342529297,223.0,223.0,186.29720928631667
plant_pt_000109_r2_c1_left_0.png,98.55999755859375,84.78666687011719,223.0,223.0,185.9791377076718
plant_pt_000401_r3_c3_left_1.png,127.20930480957031,135.44186401367188,0.0,0.0,185.81363178634703
plant_pt_000626_r1_c4_left_3.png,144.69564819335938,115.78260803222656,0.0,0.0,185.31714148680535
plant_pt_000402_r3_c4_left_1.png,160.0,92.80000305175781,0.0,0.0,184.96443054383798
plant_pt_000324_r2_c3_left_5.png,115.5368423461914,149.74737548828125,223.0,0.0,184.3165937146073
plant_pt_000416_r1_c2_left_2.png,115.39393615722656,142.09091186523438,0.0,0.0,183.04531607378507
plant_pt_000356_r1_c2_left_4.png,96.76799774169922,90.68000030517578,223.0,223.0,182.87454911325943
plant_pt_000269_r3_c3_left_1.png,122.18181610107422,135.91607666015625,0.0,0.0,182.76098073835726
plant_pt_000545_r2_c2_left_1.png,120.33058166503906,151.1405029296875,223.0,0.0,182.71415130492244
plant_pt_000323_r2_c4_left_2.png,129.0240020751953,129.23199462890625,0.0,0.0,182.61462577588264
plant_pt_000219_r3_c1_left_0.png,96.65753173828125,130.53424072265625,223.0,0.0,181.66344510523788
plant_pt_000458_r1_c4_left_3.png,90.46666717529297,123.73332977294922,223.0,0.0,181.31470212403065
plant_pt_000342_r3_c4_left_3.png,116.39215850830078,138.37254333496094,0.0,0.0,180.81508596134077
plant_pt_000360_r2_c3_left_2.png,115.10526275634766,144.42105102539062,223.0,0.0,180.27399785924553
